"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 25, 2013","14,386.0","14,451.0","14,517.0","14,320.0","207.41K","-0.50%"
"Mar 26, 2013","14,478.0","14,399.0","14,487.0","14,385.0","111.77K","0.64%"
"Mar 27, 2013","14,445.0","14,481.0","14,495.0","14,364.0","130.74K","-0.23%"
"Mar 28, 2013","14,497.0","14,445.0","14,511.0","14,396.0","-","0.36%"
"Apr 01, 2013","14,489.0","14,508.0","14,533.0","14,453.0","86.21K","-0.06%"
"Apr 02, 2013","14,584.0","14,501.0","14,610.0","14,487.0","129.30K","0.66%"
"Apr 03, 2013","14,487.0","14,592.0","14,606.0","14,454.0","177.03K","-0.67%"
"Apr 04, 2013","14,531.0","14,489.0","14,557.0","14,466.0","175.24K","0.30%"
"Apr 05, 2013","14,484.0","14,530.0","14,534.0","14,361.0","184.15K","-0.32%"
"Apr 08, 2013","14,563.0","14,479.0","14,588.0","14,432.0","118.39K","0.55%"
"Apr 09, 2013","14,610.0","14,580.0","14,651.0","14,532.0","131.46K","0.32%"
"Apr 10, 2013","14,733.0","14,610.0","14,763.0","14,593.0","135.21K","0.84%"
"Apr 11, 2013","14,796.0","14,747.0","14,823.0","14,721.0","130.45K","0.43%"
"Apr 12, 2013","14,784.0","14,799.0","14,811.0","14,726.0","141.37K","-0.08%"
"Apr 15, 2013","14,512.0","14,787.0","14,797.0","14,468.0","258.39K","-1.84%"
"Apr 16, 2013","14,685.0","14,505.0","14,698.0","14,504.0","187.11K","1.19%"
"Apr 17, 2013","14,552.0","14,681.0","14,691.0","14,494.0","238.62K","-0.91%"
"Apr 18, 2013","14,410.0","14,545.0","14,615.0","14,403.0","211.14K","-0.98%"
"Apr 19, 2013","14,470.0","14,424.0","14,505.0","14,407.0","153.80K","0.42%"
"Apr 22, 2013","14,499.0","14,475.0","14,550.0","14,394.0","166.38K","0.20%"
"Apr 23, 2013","14,644.0","14,512.0","14,661.0","14,444.0","182.64K","1.00%"
"Apr 24, 2013","14,615.0","14,647.0","14,693.0","14,608.0","128.02K","-0.20%"
"Apr 25, 2013","14,653.0","14,610.0","14,711.0","14,595.0","137.56K","0.26%"
"Apr 26, 2013","14,649.0","14,660.0","14,684.0","14,597.0","121.93K","-0.03%"
"Apr 29, 2013","14,748.0","14,648.0","14,786.0","14,631.0","105.83K","0.68%"
"Apr 30, 2013","14,773.0","14,754.0","14,786.0","14,673.0","116.17K","0.17%"
"May 01, 2013","14,636.0","14,783.0","14,793.0","14,626.0","112.69K","-0.93%"
"May 02, 2013","14,760.0","14,648.0","14,776.0","14,644.0","136.61K","0.85%"
"May 03, 2013","14,898.0","14,758.0","14,953.0","14,742.0","138.87K","0.93%"
"May 06, 2013","14,906.0","14,901.0","14,927.0","14,881.0","73.29K","0.05%"
"May 07, 2013","14,983.0","14,901.0","14,997.0","14,876.0","105.80K","0.52%"
"May 08, 2013","15,062.0","14,983.0","15,067.0","14,960.0","98.40K","0.53%"
"May 09, 2013","15,044.0","15,056.0","15,106.0","15,009.0","137.08K","-0.12%"
"May 10, 2013","15,068.0","15,054.0","15,112.0","14,998.0","136.16K","0.16%"
"May 13, 2013","15,057.0","15,039.0","15,070.0","15,012.0","93.98K","-0.07%"
"May 14, 2013","15,175.0","15,055.0","15,185.0","15,013.0","121.58K","0.78%"
"May 15, 2013","15,235.0","15,178.0","15,278.0","15,144.0","139.19K","0.40%"
