Date	Dow_Jones
09-11-2018	25973
12-11-2018	25381
13-11-2018	25330
14-11-2018	25044
15-11-2018	25305
16-11-2018	25451
19-11-2018	25029
20-11-2018	24437
21-11-2018	24465
22-11-2018	24399
23-11-2018	24260
26-11-2018	24599
27-11-2018	24742
28-11-2018	25344
29-11-2018	25391
30-11-2018	25539
03-12-2018	25846
04-12-2018	25046
05-12-2018	25046
06-12-2018	24907
07-12-2018	24432
10-12-2018	24490
11-12-2018	24422
12-12-2018	24566
13-12-2018	24571
14-12-2018	24113
17-12-2018	23672
18-12-2018	23602
19-12-2018	23316
20-12-2018	23002
21-12-2018	22785.3
24-12-2018	21700
25-12-2018	21715
26-12-2018	22898
27-12-2018	23153
28-12-2018	23035
31-12-2018	23268
01-01-2019	23371.5
02-01-2019	23325
03-01-2019	22659
04-01-2019	23395
07-01-2019	23512
08-01-2019	23743
09-01-2019	23830
10-01-2019	23953
11-01-2019	23950
14-01-2019	23867
15-01-2019	23984
16-01-2019	24151
17-01-2019	24321
18-01-2019	24687
20-01-2019	24654
21-01-2019	24610
22-01-2019	24390
23-01-2019	24551
24-01-2019	24458
25-01-2019	24696
28-01-2019	24473
29-01-2019	24553
30-01-2019	24968
31-01-2019	24976
01-02-2019	24996
04-02-2019	25188
05-02-2019	25324
06-02-2019	25327
07-02-2019	25131
08-02-2019	25081
11-02-2019	25017
12-02-2019	25406
13-02-2019	25488
14-02-2019	25427
15-02-2019	25888
17-02-2019	25918.5
18-02-2019	25882
19-02-2019	25883
20-02-2019	25964
21-02-2019	25833
22-02-2019	26002
25-02-2019	26099
26-02-2019	26037
27-02-2019	26008
28-02-2019	25913
01-03-2019	26031
04-03-2019	25814
05-03-2019	25827
06-03-2019	25666
07-03-2019	25467
08-03-2019	25495
11-03-2019	25653
12-03-2019	25553
13-03-2019	25735
14-03-2019	25710
15-03-2019	25758.9
18-03-2019	25965
19-03-2019	25906
20-03-2019	25729
21-03-2019	26011
22-03-2019	25570
25-03-2019	25577
26-03-2019	25676
27-03-2019	25660
28-03-2019	25737
29-03-2019	25933
01-04-2019	26258
02-04-2019	26153
03-04-2019	26240
04-04-2019	26388
05-04-2019	26394
08-04-2019	26334
09-04-2019	26158
10-04-2019	26166
11-04-2019	26133
12-04-2019	26408
15-04-2019	26373
16-04-2019	26447
17-04-2019	26428
18-04-2019	26566
19-04-2019	26567
22-04-2019	26513
23-04-2019	26639
24-04-2019	26541
25-04-2019	26440
26-04-2019	26517
29-04-2019	26548
30-04-2019	26584
01-05-2019	26390
02-05-2019	26265
03-05-2019	26499
06-05-2019	26405
07-05-2019	25973
08-05-2019	26014
09-05-2019	25816
10-05-2019	25964
13-05-2019	25281
14-05-2019	25570
15-05-2019	25674
16-05-2019	25867
17-05-2019	25780
20-05-2019	25696
21-05-2019	25875
22-05-2019	25771
23-05-2019	25463
24-05-2019	25620
26-05-2019	25625.5
27-05-2019	25653
28-05-2019	25369
29-05-2019	25109
30-05-2019	25190
31-05-2019	24820
03-06-2019	24869
04-06-2019	25346
05-06-2019	25558
06-06-2019	25745
07-06-2019	26007
10-06-2019	26086
11-06-2019	26065
12-06-2019	26012
13-06-2019	26117
14-06-2019	26123
17-06-2019	26131
18-06-2019	26495
19-06-2019	26529
20-06-2019	26763
21-06-2019	26745.6
24-06-2019	26762
25-06-2019	26562
26-06-2019	26550
27-06-2019	26546
28-06-2019	26593
01-07-2019	26700
02-07-2019	26797
03-07-2019	26970
04-07-2019	26989.5
05-07-2019	26885
08-07-2019	26793
09-07-2019	26779
10-07-2019	26860
11-07-2019	27077
12-07-2019	27309
15-07-2019	27342
16-07-2019	27328
17-07-2019	27231
18-07-2019	27201
19-07-2019	27130
22-07-2019	27176
23-07-2019	27324
24-07-2019	27237
25-07-2019	27096
26-07-2019	27149
29-07-2019	27198
30-07-2019	27164
31-07-2019	26855
01-08-2019	26543
02-08-2019	26449
05-08-2019	25550
06-08-2019	25924
07-08-2019	25940
08-08-2019	26365
09-08-2019	26268
12-08-2019	25867
13-08-2019	26314
14-08-2019	25455
15-08-2019	25575
16-08-2019	25907
19-08-2019	26118
20-08-2019	25931
21-08-2019	26226
22-08-2019	26225
23-08-2019	25670
26-08-2019	25943
27-08-2019	25744
28-08-2019	26037
29-08-2019	26378
30-08-2019	26406
01-09-2019	26276
02-09-2019	26198
03-09-2019	26122
04-09-2019	26372
05-09-2019	26701
06-09-2019	26808
09-09-2019	26840
10-09-2019	26894
11-09-2019	27144
12-09-2019	27198
13-09-2019	27218
16-09-2019	27084
17-09-2019	27114
18-09-2019	27148
19-09-2019	27086
20-09-2019	27140.9
23-09-2019	26963
24-09-2019	26818
25-09-2019	26958
26-09-2019	26892
27-09-2019	26796
30-09-2019	26901
01-10-2019	26521
02-10-2019	25985
03-10-2019	26180
04-10-2019	26525
07-10-2019	26439
08-10-2019	26138
09-10-2019	26305
10-10-2019	26484
11-10-2019	26775
14-10-2019	26746
15-10-2019	27002
16-10-2019	26940
17-10-2019	26993
18-10-2019	26754
21-10-2019	26797
22-10-2019	26763
23-10-2019	26802
24-10-2019	26780
25-10-2019	26904
28-10-2019	27053
29-10-2019	27042
30-10-2019	27132
31-10-2019	26982
01-11-2019	27259
04-11-2019	27380
05-11-2019	27421
06-11-2019	27430
07-11-2019	27667
08-11-2019	27631
11-11-2019	27658
12-11-2019	27663
13-11-2019	27761
14-11-2019	27746
15-11-2019	27953
18-11-2019	28008
19-11-2019	27895
20-11-2019	27800
21-11-2019	27748
22-11-2019	27862
25-11-2019	28039
26-11-2019	28130
27-11-2019	28148
28-11-2019	28116.5
29-11-2019	28073
02-12-2019	27789
03-12-2019	27487
04-12-2019	27643
05-12-2019	27678
06-12-2019	28014
09-12-2019	27902
10-12-2019	27921
11-12-2019	27924
12-12-2019	28131
13-12-2019	28168
16-12-2019	28253
17-12-2019	28276
18-12-2019	28266
19-12-2019	28386
20-12-2019	28605.6
23-12-2019	28550
24-12-2019	28508
25-12-2019	28516.5
26-12-2019	28619
27-12-2019	28610
30-12-2019	28440
31-12-2019	28508
01-01-2020	28568
02-01-2020	28841
03-01-2020	28602
06-01-2020	28642
07-01-2020	28526
08-01-2020	28770
09-01-2020	28929
10-01-2020	28777
13-01-2020	28871
14-01-2020	28934
15-01-2020	29029
16-01-2020	29240
17-01-2020	29279
19-01-2020	29306
20-01-2020	29280
21-01-2020	29179
22-01-2020	29140
23-01-2020	29127
24-01-2020	28933
27-01-2020	28481
28-01-2020	28710
29-01-2020	28710
30-01-2020	28791
31-01-2020	28196
03-02-2020	28361
04-02-2020	28789
05-02-2020	29241
06-02-2020	29328
07-02-2020	29044
10-02-2020	29245
11-02-2020	29229
12-02-2020	29523
13-02-2020	29432
14-02-2020	29395
16-02-2020	29445.5
17-02-2020	29356
18-02-2020	29211
19-02-2020	29337
20-02-2020	29171
21-02-2020	28981
24-02-2020	27968
25-02-2020	27117
26-02-2020	26914
27-02-2020	25552
28-02-2020	25364
02-03-2020	26468
03-03-2020	25880
04-03-2020	26965
05-03-2020	26060
06-03-2020	25789
09-03-2020	23877
10-03-2020	24849
11-03-2020	23575
12-03-2020	21085
13-03-2020	22988
16-03-2020	20399
17-03-2020	20966
18-03-2020	19981
19-03-2020	20003
20-03-2020	20255.5
23-03-2020	18497
24-03-2020	20608
25-03-2020	21026
26-03-2020	22348
27-03-2020	21437
30-03-2020	22167
31-03-2020	21751
