Date	Dow_Jones	P/E	P/B	Div Yield	Symbol	Expiry	Close	Open Interest	Change in OI	SMA	EMA	upper_band	middle_band	lower_band	PercentageChange	Vix
22-10-2019	26763	26.71	3.58	1.29	NIFTY	31-10-2019	11624.35	14919075	1261800	11156.822	11562.99817	11742.58444	11444.925	11147.26556	-0.39117395	16.81
23-10-2019	26802	26.75	3.58	1.29	NIFTY	31-10-2019	11624.7	14586600	-332475	11171.38	11583.56545	11760.57667	11461.385	11162.19333	0.003010921	16.535
24-10-2019	26780	26.7	3.58	1.29	NIFTY	31-10-2019	11611.15	14386650	-199950	11184.03	11592.7603	11761.14917	11461.5775	11162.00583	-0.116562148	16.24
25-10-2019	26904	26.7	3.58	1.29	NIFTY	31-10-2019	11608.95	13894425	-492225	11198.724	11598.15687	11760.41324	11461.3325	11162.25176	-0.018947305	15.315
28-10-2019	27053															
29-10-2019	27042	27.17	3.64	1.27	NIFTY	31-10-2019	11795.45	11912925	-2004900	11223.395	11669.88638	11817.01403	11480.4025	11143.79097	1.466236559	16.42
30-10-2019	27132	27.3	3.66	1.26	NIFTY	31-10-2019	11840.2	7737075	-4175850	11241.696	11726.65759	11862.97026	11493.4375	11123.90474	0.379383576	16.6575
31-10-2019	26982	27.38	3.67	1.26	NIFTY	31-10-2019	11878.95	2827875	-4909200	11258.712	11777.42173	11916.55376	11510.655	11104.75624	0.327274877	16.28
01-11-2019	27259	27.47	3.67	1.26	NIFTY	28-11-2019	11928.25	14558325	247425	11275.984	11827.69782	11978.11427	11535.575	11093.03573	0.415019846	15.7325
04-11-2019	27380	27.59	3.69	1.25	NIFTY	28-11-2019	11979.7	14671200	112875	11294.416	11878.36521	12041.2677	11566.47	11091.6723	0.431328988	15.925
05-11-2019	27421	27.59	3.68	1.25	NIFTY	28-11-2019	11956	15091950	420750	11312.974	11904.24347	12078.49233	11603.5125	11128.53267	-0.19783467	15.9175
06-11-2019	27430	27.71	3.7	1.25	NIFTY	28-11-2019	12008.05	15740250	648300	11334.482	11938.84565	12106.45726	11645.815	11185.17274	0.43534627	15.775
