Date	Close	Open Interest	Change in OI	SMA	EMA	upper_band	middle_band	lower_band	Percentage Change
2010-06-28	5339.95	30048000	617000	5138.312	5313.6586098887365	5448.548827121704	5175.290000000002	4902.0311728783	1.053380649631551
2010-06-29	5266.45	30435450	387450	5139.108	5297.922406592491	5445.5725672673025	5191.410000000002	4937.247432732701	-1.3956270352894264
2010-06-30	5316.25	32078250	1642800	5140.53	5304.031604394994	5451.431902979054	5207.005000000001	4962.578097020948	0.9367505290383293
2010-07-01	5258.3	32924600	846350	5140.388	5288.78773626333	5454.998568991766	5215.122500000001	4975.246431008237	-1.102067208033011
2010-07-02	5250.85	32338650	-585950	5139.305	5276.141824175554	5457.915061415887	5221.667500000001	4985.419938584116	-0.14188179056723801
2010-07-05	5249.1	33082850	744200	5137.889	5267.127882783702	5450.647866951935	5233.112500000002	5015.577133048069	-0.03333904859880741
2010-07-06	5306.9	32557800	-525050	5137.8460000000005	5280.385255189135	5430.339971288657	5250.422500000002	5070.505028711348	1.08914809022215
2010-07-07	5247.7	32751500	193700	5138.466	5269.49017012609	5398.148190621502	5263.287500000002	5128.426809378502	-1.1281132686700805
2010-07-08	5309.45	30587400	-2164100	5139.573	5282.810113417393	5383.246851256976	5274.455000000002	5165.663148743028	1.1630206518565953
2010-07-09	5354.05	31380100	792700	5141.398	5306.556742278262	5373.333584796236	5286.315000000001	5199.296415203767	0.8330142602329146
2010-07-12	5381.2	31983400	603300	5144.653	5331.437828185508	5383.071102369525	5295.135000000001	5207.198897630477	0.504534304616064
2010-07-13	5417.1	32233000	249600	5150.158	5359.991885457005	5402.425458480406	5304.2750000000015	5206.124541519597	0.662716213472163
2010-07-14	5388.45	32215150	-17850	5155.524000000001	5369.477923638004	5410.236189957491	5312.375000000002	5214.513810042513	-0.5316927873507326
2010-07-15	5381.6	32176250	-38900	5161.413000000001	5373.5186157586695	5418.651946424337	5317.215000000002	5215.7780535756665	-0.12728556563102894
2010-07-16	5398.25	32993400	817150	5168.982000000001	5381.762410505779	5427.9264750023485	5324.0700000000015	5220.2135249976545	0.30843328856573216
2010-07-19	5384.8	32980200	-13200	5172.673000000001	5382.774940337186	5431.686144235939	5325.4275000000025	5219.168855764066	-0.24977715049769383
2010-07-20	5363.8	33134750	154550	5177.290000000001	5376.449960224791	5435.125560200337	5327.602500000003	5220.079439799669	-0.3915134792497856
2010-07-21	5403.8	33016200	-118550	5182.362	5385.56664014986	5443.655584527083	5331.112500000002	5218.569415472921	0.7402198452940523
2010-07-22	5453.6	31734750	-1281450	5187.871	5408.244426766573	5462.132387605742	5337.765000000002	5213.397612394262	0.9131582807686699
2010-07-23	5443.8	30398900	-1335850	5195.0740000000005	5420.096284511049	5475.673835200834	5345.770000000002	5215.86616479917	-0.18002130864470006
2010-07-26	5422.55	25859200	-4539700	5202.3640000000005	5420.914189674033	5483.98593513057	5349.900000000003	5215.814064869436	-0.39188204811389477
2010-07-27	5434.6	20058100	-5801100	5209.7880000000005	5425.476126449355	5491.492826800002	5358.3075000000035	5225.122173200005	0.22172745004232475
2010-07-28	5394.4	13833450	-6224650	5219.218000000001	5415.117417632903	5494.819766505045	5362.215000000003	5229.610233494961	-0.7452172623461503
2010-07-29	5408.75	8476150	-5357300	5228.572000000001	5412.994945088602	5494.761929112298	5369.737500000003	5244.7130708877075	0.26531083891842594
